round,player,opponent,game,winner,winner_name,loser_name
1,Kevin,David,Kevin-David,1,Kevin,David
1,Felix,Sten,Felix-Sten,1,Felix,Sten
1,Felix,David,Felix-David,1,Felix,David
1,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
1,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
1,David,Sten,David-Sten,0,Sten,David
2,Kevin,David,Kevin-David,0,David,Kevin
2,Felix,Sten,Felix-Sten,1,Felix,Sten
2,Felix,David,Felix-David,1,Felix,David
2,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
2,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
2,David,Sten,David-Sten,1,David,Sten
3,Kevin,David,Kevin-David,1,Kevin,David
3,Felix,Sten,Felix-Sten,1,Felix,Sten
3,Felix,David,Felix-David,1,Felix,David
3,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
3,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
3,David,Sten,David-Sten,1,David,Sten
4,Kevin,David,Kevin-David,1,Kevin,David
4,Felix,Sten,Felix-Sten,0,Sten,Felix
4,Felix,David,Felix-David,0,David,Felix
4,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
4,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
4,David,Sten,David-Sten,1,David,Sten
5,Kevin,David,Kevin-David,0,David,Kevin
5,Felix,Sten,Felix-Sten,1,Felix,Sten
5,Felix,David,Felix-David,1,Felix,David
5,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
5,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
5,David,Sten,David-Sten,1,David,Sten
6,Kevin,David,Kevin-David,1,Kevin,David
6,Felix,Sten,Felix-Sten,0,Sten,Felix
6,Felix,David,Felix-David,1,Felix,David
6,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
6,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
6,David,Sten,David-Sten,1,David,Sten
7,Kevin,David,Kevin-David,1,Kevin,David
7,Felix,Sten,Felix-Sten,0,Sten,Felix
7,Felix,David,Felix-David,0,David,Felix
7,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
7,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
7,David,Sten,David-Sten,1,David,Sten
8,Kevin,David,Kevin-David,0,David,Kevin
8,Felix,Sten,Felix-Sten,0,Sten,Felix
8,Felix,David,Felix-David,0,David,Felix
8,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
8,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
8,David,Sten,David-Sten,0,Sten,David
9,Kevin,David,Kevin-David,0,David,Kevin
9,Felix,Sten,Felix-Sten,1,Felix,Sten
9,Felix,David,Felix-David,1,Felix,David
9,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
9,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
9,David,Sten,David-Sten,1,David,Sten
10,Kevin,David,Kevin-David,1,Kevin,David
10,Felix,Sten,Felix-Sten,0,Sten,Felix
10,Felix,David,Felix-David,1,Felix,David
10,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
10,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
10,David,Sten,David-Sten,0,Sten,David
11,Kevin,David,Kevin-David,1,Kevin,David
11,Felix,Sten,Felix-Sten,0,Sten,Felix
11,Felix,David,Felix-David,0,David,Felix
11,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
11,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
11,David,Sten,David-Sten,1,David,Sten
12,Kevin,David,Kevin-David,1,Kevin,David
12,Felix,Sten,Felix-Sten,0,Sten,Felix
12,Felix,David,Felix-David,0,David,Felix
12,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
12,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
12,David,Sten,David-Sten,1,David,Sten
13,Kevin,David,Kevin-David,1,Kevin,David
13,Felix,Sten,Felix-Sten,0,Sten,Felix
13,Felix,David,Felix-David,0,David,Felix
13,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
13,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
13,David,Sten,David-Sten,0,Sten,David
14,Kevin,David,Kevin-David,1,Kevin,David
14,Felix,Sten,Felix-Sten,0,Sten,Felix
14,Felix,David,Felix-David,0,David,Felix
14,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
14,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
14,David,Sten,David-Sten,1,David,Sten
15,Kevin,David,Kevin-David,1,Kevin,David
15,Felix,Sten,Felix-Sten,1,Felix,Sten
15,Felix,David,Felix-David,0,David,Felix
15,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
15,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
15,David,Sten,David-Sten,1,David,Sten
16,Kevin,David,Kevin-David,1,Kevin,David
16,Felix,Sten,Felix-Sten,1,Felix,Sten
16,Felix,David,Felix-David,0,David,Felix
16,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
16,Felix,Kevin,Felix-Kevin,1,Felix,Kevin
16,David,Sten,David-Sten,0,Sten,David
17,Kevin,David,Kevin-David,1,Kevin,David
17,Felix,Sten,Felix-Sten,1,Felix,Sten
17,Felix,David,Felix-David,1,Felix,David
17,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
17,Felix,Kevin,Felix-Kevin,1,Felix,Kevin
17,David,Sten,David-Sten,0,Sten,David
18,Kevin,David,Kevin-David,1,Kevin,David
18,Felix,Sten,Felix-Sten,0,Sten,Felix
18,Felix,David,Felix-David,1,Felix,David
18,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
18,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
18,David,Sten,David-Sten,1,David,Sten
19,Kevin,David,Kevin-David,1,Kevin,David
19,Felix,Sten,Felix-Sten,0,Sten,Felix
19,Felix,David,Felix-David,0,David,Felix
19,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
19,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
19,David,Sten,David-Sten,1,David,Sten
20,Kevin,David,Kevin-David,1,Kevin,David
20,Felix,Sten,Felix-Sten,0,Sten,Felix
20,Felix,David,Felix-David,0,David,Felix
20,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
20,Felix,Kevin,Felix-Kevin,1,Felix,Kevin
20,David,Sten,David-Sten,0,Sten,David
21,Kevin,David,Kevin-David,1,Kevin,David
21,Felix,Sten,Felix-Sten,0,Sten,Felix
21,Felix,David,Felix-David,0,David,Felix
21,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
21,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
21,David,Sten,David-Sten,0,Sten,David
22,Kevin,David,Kevin-David,0,David,Kevin
22,Felix,Sten,Felix-Sten,0,Sten,Felix
22,Felix,David,Felix-David,1,Felix,David
22,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
22,Felix,Kevin,Felix-Kevin,1,Felix,Kevin
22,David,Sten,David-Sten,0,Sten,David
23,Kevin,David,Kevin-David,1,Kevin,David
23,Felix,Sten,Felix-Sten,0,Sten,Felix
23,Felix,David,Felix-David,1,Felix,David
23,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
23,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
23,David,Sten,David-Sten,0,Sten,David
24,Kevin,David,Kevin-David,1,Kevin,David
24,Felix,Sten,Felix-Sten,0,Sten,Felix
24,Felix,David,Felix-David,0,David,Felix
24,Kevin,Sten,Kevin-Sten,0,Sten,Kevin
24,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
24,David,Sten,David-Sten,0,Sten,David
25,Kevin,David,Kevin-David,1,Kevin,David
25,Felix,Sten,Felix-Sten,1,Felix,Sten
25,Felix,David,Felix-David,0,David,Felix
25,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
25,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
25,David,Sten,David-Sten,0,Sten,David
26,Kevin,David,Kevin-David,0,David,Kevin
26,Felix,Sten,Felix-Sten,0,Sten,Felix
26,Felix,David,Felix-David,0,David,Felix
26,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
26,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
26,David,Sten,David-Sten,1,David,Sten
27,Kevin,David,Kevin-David,0,David,Kevin
27,Felix,Sten,Felix-Sten,0,Sten,Felix
27,Felix,David,Felix-David,0,David,Felix
27,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
27,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
27,David,Sten,David-Sten,1,David,Sten
28,Kevin,David,Kevin-David,1,Kevin,David
28,Felix,Sten,Felix-Sten,1,Felix,Sten
28,Felix,David,Felix-David,0,David,Felix
28,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
28,Felix,Kevin,Felix-Kevin,0,Kevin,Felix
28,David,Sten,David-Sten,1,David,Sten
29,Kevin,David,Kevin-David,1,Kevin,David
29,Felix,Sten,Felix-Sten,1,Felix,Sten
29,Felix,David,Felix-David,1,Felix,David
29,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
29,Felix,Kevin,Felix-Kevin,1,Felix,Kevin
29,David,Sten,David-Sten,0,Sten,David
30,Kevin,David,Kevin-David,1,Kevin,David
30,Felix,Sten,Felix-Sten,0,Sten,Felix
30,Felix,David,Felix-David,0,David,Felix
30,Kevin,Sten,Kevin-Sten,1,Kevin,Sten
30,David,Sten,David-Sten,1,David,Sten
